Station,Latitude,Longitude
KIAINDEP3,42.47,-91.88
KIAHAMPT3,42.74,-93.2
KIAPOLKC7,41.83,-93.73
KIAODEBO3,42.31,-95.25
KIALEHIG3,42.35,-94.11
KIAVENTU2,43.12,-93.48
KIASPIRI1,43.42,-95.1
KIAMILFO2,43.33,-95.15
KIACEDAR30,42.52,-92.46
KIACREST15,41.11,-94.42
KIAMILLE4,40.93,-93.24
KIADOUDS2,40.83,-92.36
KIAINDIA2,41.36,-93.57
KIAGUTHR2,41.61,-94.45
KIAHEDRI2,41.17,-92.41
KIAOSKAL3,41.29,-92.65
KIASOLON7,41.79,-91.57
KNEBELLE19,41.19,-95.94
KIAMORAV3,40.83,-92.74
KIABEDFO2,40.67,-94.72
KIAWHITI3,42.13,-96.17
KIAELDOR5,42.37,-93.11
KIALAMON4,40.59,-93.94
KIAJOLLE2,42.51,-94.8
KIAMANSO3,42.53,-94.53
KIAURBAN45,42.2,-91.87
KIAHARLA18,41.65,-95.33
KIAKELLO2,41.73,-92.93
KIAPANOR4,41.69,-94.36
KIAGLADB3,42.18,-92.7
KIAVILLI7,40.93,-94.98
KIAHAMPT7,42.74,-93.3
KIAPOLKC12,41.77,-93.72
KIAESTHE8,43.43,-94.95
KIACHARI2,40.93,-93.24
KIABLOOM7,40.83,-92.36
KIAANITA4,41.45,-94.77
KIABRIGH1,41.08,-91.83
KIABEDFO3,40.71,-94.82
KNEWALTH4,42.13,-96.4
KIAELDOR10,42.34,-93.08
KIACENTE12,42.16,-91.8
KIAGRINN6,41.81,-92.8
KIABEAMA4,42.22,-92.82
