Lake,Latitude,Longitude,City
Backbone,42.60126882,-91.53450482,Dundee
Beed's Lake,42.77066262,-93.24112809,Hampton
Big Creek,41.81965295,-93.73970973,Polk City
Black Hawk,42.29370651,-95.018137,Waterloo
Brushy Creek,42.38828054,-93.97831382,Lehigh
Clear Lake,43.11148253,-93.39668531,Clear Lake
Crandall's,43.49051232,-95.12428186,Spirit Lake Township
Denison,42.3014502,-95.03488983,Lake View
Emerson Bay,43.3577189,-95.1747729,Milford
George Wyth,42.53701133,-92.40373867,Cedar Falls
Green Valley,41.11129326,-94.38048002,Creston
Gull Point,43.37162282,-95.16001853,Wahpeton
Honey Creek Resort,40.86435335,-92.93334235,Moravia
Lacey-Keosauqua,40.7091912,-91.97121974,Keosauqua
Lake Ahquabi,41.29018692,-93.59147797,Indianola
Lake Anita,41.43068423,-94.76756097,Anita
Lake Darling,41.19115203,-91.89248579,Brighton
Lake Keomah,41.29133822,-92.53953827,Oskaloosa
Lake Macbride,41.79750815,-91.56465529,Solon
Lake Manawa,41.20182854,-95.85987612,Council Bluffs
Lake Wapello,40.81318446,-92.58129173,Drakesville
Lake of Three Fires,40.7239659,-94.69279284,Bedford
Lewis and Clark (Blue Lake),42.04063946,-96.1618379,Onawa
Lower Pine Lake,42.37041193,-93.07781555,Eldora
McIntosh Woods,43.12962098,-93.45301821,Ventura
Nine Eagles,40.59961898,-93.76649681,Davis City
North Twin Lake East,42.49362338,-94.62053665,Rockwell City
North Twin Lake West,42.480205,-94.63396916,Rockwell City
Pike's Point,43.41624923,-95.16461554,Spirit Lake
Pleasant Creek Lake,42.12068944,-91.81189056,Palo
Prairie Rose,41.60366322,-95.21578435,Harlan
Red Haw,40.99785158,-93.27630402,Chariton
Rock Creek,41.75758741,-92.84034706,Kellogg
Springbrook,41.77663346,-94.46603561,Guthrie Center
Triboji,43.42665728,-95.17338825,Okoboji
Union Grove,42.12510956,-92.71875078,Garwin
Viking Lake,40.9718788,-95.03675756,Stanton
